Nationality,Sex,p10,p25,p50,p75,p90
European (excluding Spain),Female,0.009502250945321181,0.014928172257473546,0.025794008705520913,0.04284014541834172,0.059273987710056444
European (excluding Spain),Male,0.00935848423876593,0.01520118968935889,0.027151196808363556,0.042681603037432986,0.060791350729488054
Rest of the world,Female,0.037623066400084185,0.050035816664890806,0.06851053473332869,0.08859132414597908,0.11626161861346282
Rest of the world,Male,0.030866498605449474,0.04328307123999541,0.06082678286625655,0.08330091030565935,0.11405830955646522
Spanish,Female,0.3588128678437667,0.40105321507760533,0.4353154345532021,0.46220366840061233,0.4799682034011806
Spanish,Male,0.3164644950096145,0.34731214954039435,0.3746838210935002,0.4005699584967878,0.4211280181086519
Unspecified,Female,0.0,0.0,0.0,0.0,0.0
Unspecified,Male,0.0,0.0,0.0,0.0,0.0
