Nationality,Sex,count,mean,std,min,median,max
European (excluding Spain),Female,1068,0.03146778487398167,0.021864501591017257,0.0,0.025794008705520913,0.13058907026259758
European (excluding Spain),Male,1068,0.03179940115901666,0.0220419400314123,0.0,0.027151196808363556,0.13340174448435094
Rest of the world,Female,1068,0.07319505840806424,0.03312795940895653,0.0070830650354153256,0.06851053473332869,0.2584043030031376
Rest of the world,Male,1068,0.07127488271219246,0.047838339557284545,0.0,0.06082678286625655,0.6322573414032728
Spanish,Female,1068,0.4229830480094213,0.058713192273163024,0.07587984756780991,0.4353154345532021,0.5464382326420198
Spanish,Male,1068,0.36927720646599255,0.04658066772121748,0.10793544048419637,0.3746838210935002,0.47907276239536384
Unspecified,Female,111,2.5192978213112443e-05,0.0002654244954565153,0.0,0.0,0.002796420581655481
Unspecified,Male,75,0.0,0.0,0.0,0.0,0.0
